Model,Accuracy,Accuracy_ambig,Accuracy_disambig,Bias_score_disambig,Bias_score_ambig,N_total,N_ambig,N_disambig,input_file
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Age,0.404,0.201,0.608,5.257,15.87,3680,1840,1840,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Age.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Disability_status,0.305,0.071,0.539,2.307,4.242,1556,778,778,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Disability_status.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Gender_identity,0.499,0.938,0.059,-7.631,0.315,5720,2860,2860,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Gender_identity.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Nationality,0.418,0.239,0.596,2.026,4.026,3080,1540,1540,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Nationality.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Physical_appearance,0.351,0.181,0.52,1.049,11.294,1576,788,788,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Physical_appearance.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Race_ethnicity,0.374,0.301,0.447,0.918,0.901,6880,3440,3440,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Race_ethnicity.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Race_x_SES,0.313,0.031,0.594,0.398,2.312,11160,5580,5580,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Race_x_SES.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Race_x_gender,0.382,0.314,0.45,-0.751,0.088,15960,7980,7980,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Race_x_gender.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Religion,0.491,0.472,0.51,8.095,3.167,1200,600,600,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Religion.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_SES,0.459,0.53,0.388,-0.292,3.526,6864,3432,3432,bbq_preds_m20_selfrefine_exact_instr_positive_contact_SES.csv
m20_selfrefine_exact:m20_selfrefine_exact_instr_positive_contact_Sexual_orientation,0.431,0.396,0.465,-2.357,4.398,864,432,432,bbq_preds_m20_selfrefine_exact_instr_positive_contact_Sexual_orientation.csv
m20_selfrefine_exact,0.392,0.328,0.455,0.651,2.771,58540,29270,29270,__overall__
