Model,Accuracy,Accuracy_ambig,Accuracy_disambig,Bias_score_disambig,Bias_score_ambig,N_total,N_ambig,N_disambig,input_file,debias_method,strategy
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Age,0.573,0.947,0.198,6.923,1.033,3680,1840,1840,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Age.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Disability_status,0.535,0.856,0.215,-2.5,6.684,1556,778,778,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Disability_status.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Gender_identity,0.585,0.937,0.233,1.882,0.594,5720,2860,2860,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Gender_identity.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Nationality,0.564,0.938,0.19,2.55,1.104,3080,1540,1540,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Nationality.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Physical_appearance,0.541,0.954,0.127,24.638,0.254,1576,788,788,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Physical_appearance.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Race_ethnicity,0.596,0.911,0.281,-0.939,0.436,6880,3440,3440,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Race_ethnicity.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Race_x_SES,0.603,0.928,0.277,0.261,0.054,11160,5580,5580,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Race_x_SES.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Race_x_gender,0.651,0.91,0.392,-3.735,-0.789,15960,7980,7980,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Race_x_gender.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Religion,0.542,0.983,0.1,21.951,-0.333,1200,600,600,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Religion.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_SES,0.57,0.957,0.182,2.611,0.262,6864,3432,3432,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_SES.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr:m6_postcorr_sr_post_inference_correction_stereotype_replacement_Sexual_orientation,0.534,0.965,0.102,4.918,0.231,864,432,432,bbq_preds_m6_postcorr_sr_post_inference_correction_stereotype_replacement_Sexual_orientation.csv,post_inference_correction,stereotype_replacement
m6_postcorr_sr,0.6,0.928,0.272,-0.174,0.239,58540,29270,29270,__overall__,,
