dataset_key,benchmark_label,method_key,method_label,metric,accuracy,accuracy_percent_plotted,name,model,strategy,settings,source_file
arc_challenge,ARC-Challenge,base,Base Model Inference,accuracy,0.66808874,66.8089,reasoning_check,reasoning_check__base__arc_challenge,,benchmark=arc_challenge | split=test,results/new_results/reasoning_check/rc_20260331_arc_full/reasoning_check__base__arc_challenge/arc_challenge_metrics_overall_reasoning_check__base__arc_challenge.csv
arc_challenge,ARC-Challenge,icl,ICL,accuracy,0.64249147,64.2491,m4_base_icl_zero,m4_baseicl_zero_llama8b_allstrat_arc_challenge,all_strategies,zero-shot ICL,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama8b/reasoning/arc_challenge/m4_baseicl_zero_llama8b_allstrat_arc_challenge/arc_challenge_metrics_overall_m4_baseicl_zero_llama8b_allstrat_arc_challenge.csv
arc_challenge,ARC-Challenge,instruction_tune,DIY IT,accuracy,0.63822526,63.8225,reasoning_check,reasoning_check__finetuned_ms-500-allstrategies-opinion-action-event-allversions__arc_challenge,,benchmark=arc_challenge | split=test,results/new_results/reasoning_check/rc_20260331_arc_full/reasoning_check__finetuned_ms-500-allstrategies-opinion-action-event-allversions__arc_challenge/arc_challenge_metrics_overall_reasoning_check__finetuned_ms-500-allstrategies-opinion-action-event-allversions__arc_challenge.csv
arc_challenge,ARC-Challenge,twopass,DIY Two Pass (No IT),accuracy,0.69368601,69.3686,m6_self_debiasing,m6_two_pass__base__all_strategies__arc_challenge,all_strategies,benchmark=arc_challenge | split=test,results/new_results/m6_self_debiasing/m6sd_20260331_arc_full/arc_challenge_metrics_overall_m6_two_pass__base__all_strategies.csv
arc_challenge,ARC-Challenge,tune_twopass,DIY Two Pass (IT),accuracy,0.65614334,65.6143,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies__arc_challenge,all_strategies,benchmark=arc_challenge | split=test,results/new_results/m6_self_debiasing/m6sd_20260331_arc_full/arc_challenge_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies.csv
arc_easy,ARC-Easy,base,Base Model Inference,accuracy,0.75841751,75.8418,reasoning_check,reasoning_check__base__arc_easy,,benchmark=arc_easy | split=test,results/new_results/reasoning_check/rc_20260331_arc_full/reasoning_check__base__arc_easy/arc_easy_metrics_overall_reasoning_check__base__arc_easy.csv
arc_easy,ARC-Easy,icl,ICL,accuracy,0.77188552,77.1886,m4_base_icl_zero,m4_baseicl_zero_llama8b_allstrat_arc_easy,all_strategies,zero-shot ICL,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama8b/reasoning/arc_easy/m4_baseicl_zero_llama8b_allstrat_arc_easy/arc_easy_metrics_overall_m4_baseicl_zero_llama8b_allstrat_arc_easy.csv
arc_easy,ARC-Easy,instruction_tune,DIY IT,accuracy,0.73611111,73.6111,reasoning_check,reasoning_check__finetuned_ms-500-allstrategies-opinion-action-event-allversions__arc_easy,,benchmark=arc_easy | split=test,results/new_results/reasoning_check/rc_20260331_arc_full/reasoning_check__finetuned_ms-500-allstrategies-opinion-action-event-allversions__arc_easy/arc_easy_metrics_overall_reasoning_check__finetuned_ms-500-allstrategies-opinion-action-event-allversions__arc_easy.csv
arc_easy,ARC-Easy,twopass,DIY Two Pass (No IT),accuracy,0.81523569,81.5236,m6_self_debiasing,m6_two_pass__base__all_strategies__arc_easy,all_strategies,benchmark=arc_easy | split=test,results/new_results/m6_self_debiasing/m6sd_20260331_arc_full/arc_easy_metrics_overall_m6_two_pass__base__all_strategies.csv
arc_easy,ARC-Easy,tune_twopass,DIY Two Pass (IT),accuracy,0.76220539,76.2205,m6_self_debiasing,m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies__arc_easy,all_strategies,benchmark=arc_easy | split=test,results/new_results/m6_self_debiasing/m6sd_20260331_arc_full/arc_easy_metrics_overall_m6_two_pass__finetuned_ms-500-allstrategies-opinion-action-event-allversions__all_strategies.csv
