method_key,method_label,group,mean_bias_error,mean_reasoning_accuracy,n_bias_panels,n_reasoning_benchmarks,plotted,bias_panels,reasoning_sources,pareto_frontier
base,Base Model,base,5.73095,71.9502,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/new_results/reasoning_check/rc_20260331_arc_full/reasoning_check__base__arc_challenge/arc_challenge_metrics_overall_reasoning_check__base__arc_challenge.csv | ARC-Easy=results/new_results/reasoning_check/rc_20260331_arc_full/reasoning_check__base__arc_easy/arc_easy_metrics_overall_reasoning_check__base__arc_easy.csv | Balanced COPA=results/new_results/reasoning_check/rc_20260331_balanced_copa_option_scoring/reasoning_check__base__balanced_copa/balanced_copa_metrics_overall_reasoning_check__base__balanced_copa.csv,False
icl,ICL,icl,1.08587,70.2126,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama8b/reasoning/arc_challenge/m4_baseicl_zero_llama8b_allstrat_arc_challenge/arc_challenge_metrics_overall_m4_baseicl_zero_llama8b_allstrat_arc_challenge.csv | ARC-Easy=results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama8b/reasoning/arc_easy/m4_baseicl_zero_llama8b_allstrat_arc_easy/arc_easy_metrics_overall_m4_baseicl_zero_llama8b_allstrat_arc_easy.csv | Balanced COPA=results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama8b/reasoning/balanced_copa/m4_baseicl_zero_llama8b_allstrat_balanced_copa/balanced_copa_metrics_overall_m4_baseicl_zero_llama8b_allstrat_balanced_copa.csv,True
bba,BBA,baseline,9.06854,70.8653,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/3_baselines/bba/arc_challenge/arc_challenge_metrics_overall_llama_8b_bba.csv | ARC-Easy=results/3_baselines/bba/arc_easy/arc_easy_metrics_overall_llama_8b_bba.csv | Balanced COPA=results/3_baselines/bba/balanced_copa/balanced_copa_metrics_overall_llama_8b_bba.csv,False
cal,CAL,baseline,5.74017,73.8649,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/3_baselines/cal/arc_challenge/arc_challenge_metrics_overall_llama_8b_cal.csv | ARC-Easy=results/3_baselines/cal/arc_easy/arc_easy_metrics_overall_llama_8b_cal.csv | Balanced COPA=results/3_baselines/cal/balanced_copa/balanced_copa_metrics_overall_llama_8b_cal.csv,False
fairsteer,FairSteer,baseline,9.06489,73.6767,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/3_baselines/fairsteer/arc_challenge/arc_challenge_metrics_overall_llama_8b_fairsteer.csv | ARC-Easy=results/3_baselines/fairsteer/arc_easy/arc_easy_metrics_overall_llama_8b_fairsteer.csv | Balanced COPA=results/3_baselines/fairsteer/balanced_copa/balanced_copa_metrics_overall_llama_8b_fairsteer.csv,False
biasedit,BiasEdit,baseline,2.91344,73.6292,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/3_baselines/biasedit/arc_challenge/arc_challenge_metrics_overall_llama_8b_biasedit.csv | ARC-Easy=results/3_baselines/biasedit/arc_easy/arc_easy_metrics_overall_llama_8b_biasedit.csv | Balanced COPA=results/3_baselines/biasedit/balanced_copa/balanced_copa_metrics_overall_llama_8b_biasedit.csv,False
lftf,LFTF,baseline,9.07675,73.6434,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/3_baselines/lftf/arc_challenge/arc_challenge_metrics_overall_llama_8b_lftf.csv | ARC-Easy=results/3_baselines/lftf/arc_easy/arc_easy_metrics_overall_llama_8b_lftf.csv | Balanced COPA=results/3_baselines/lftf/balanced_copa/balanced_copa_metrics_overall_llama_8b_lftf.csv,False
dpo,DPO,baseline,14.0491,67.2718,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/3_baselines/dpo/arc_challenge/arc_challenge_metrics_overall_llama_8b_dpo.csv | ARC-Easy=results/3_baselines/dpo/arc_easy/arc_easy_metrics_overall_llama_8b_dpo.csv | Balanced COPA=results/3_baselines/dpo/balanced_copa/balanced_copa_metrics_overall_llama_8b_dpo.csv,False
peft,PEFT,baseline,4.51962,62.7206,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/3_baselines/peft/arc_challenge/arc_challenge_metrics_overall_llama_8b_peft.csv | ARC-Easy=results/3_baselines/peft/arc_easy/arc_easy_metrics_overall_llama_8b_peft.csv | Balanced COPA=results/3_baselines/peft/balanced_copa/balanced_copa_metrics_overall_llama_8b_peft.csv,False
debias_llms,DebiasLLMs,baseline,2.47164,43.5828,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/3_baselines/debias_llms/arc_challenge/arc_challenge_metrics_overall_llama_8b_debias_llms.csv | ARC-Easy=results/3_baselines/debias_llms/arc_easy/arc_easy_metrics_overall_llama_8b_debias_llms.csv | Balanced COPA=results/3_baselines/debias_llms/balanced_copa/balanced_copa_metrics_overall_llama_8b_debias_llms.csv,False
debias_nlg,DebiasNLG,baseline,14.4989,62.0199,6,3,True,BBQ Ambig.; BBQ Disambig.; CrowS-Pairs; StereoSet; WinoBias; WinoGender,ARC-Challenge=results/3_baselines/debias_nlg/arc_challenge/arc_challenge_metrics_overall_llama_8b_debias_nlg.csv | ARC-Easy=results/3_baselines/debias_nlg/arc_easy/arc_easy_metrics_overall_llama_8b_debias_nlg.csv | Balanced COPA=results/3_baselines/debias_nlg/balanced_copa/balanced_copa_metrics_overall_llama_8b_debias_nlg.csv,False
