dataset_key,benchmark_label,checkpoint_key,checkpoint_label,strategy_label,ft_label,metric,accuracy,accuracy_percent_plotted,source_file
arc_challenge,ARC-Challenge,all_allversions,"All interventions, all-version IT checkpoint",All interventions,all-version,accuracy,0.86262799,86.262799,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_all_allversions_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_all_allversions_arc_challenge.csv
arc_challenge,ARC-Challenge,all_opinion,"All interventions, opinion IT checkpoint",All interventions,opinion,accuracy,0.85836177,85.836177,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_all_opinion_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_all_opinion_arc_challenge.csv
arc_challenge,ARC-Challenge,all_action,"All interventions, action IT checkpoint",All interventions,action,accuracy,0.87116041,87.116041,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_all_action_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_all_action_arc_challenge.csv
arc_challenge,ARC-Challenge,all_event,"All interventions, event IT checkpoint",All interventions,event,accuracy,0.85836177,85.836177,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_all_event_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_all_event_arc_challenge.csv
arc_challenge,ARC-Challenge,sr,"Stereotype replacement, matched IT checkpoint",Stereotype replacement,matched all-version,accuracy,0.86177474,86.177474,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_sr_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_sr_arc_challenge.csv
arc_challenge,ARC-Challenge,ind,"Individuation, matched IT checkpoint",Individuation,matched all-version,accuracy,0.87883959,87.883959,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_ind_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_ind_arc_challenge.csv
arc_challenge,ARC-Challenge,pt,"Perspective-taking, matched IT checkpoint",Perspective-taking,matched all-version,accuracy,0.87030717,87.030717,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_pt_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_pt_arc_challenge.csv
arc_challenge,ARC-Challenge,ci,"Counter-stereotypic imaging, matched IT checkpoint",Counter-stereotypic imaging,matched all-version,accuracy,0.8609215,86.09215,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_ci_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_ci_arc_challenge.csv
arc_challenge,ARC-Challenge,pc,"Positive contact, matched IT checkpoint",Positive contact,matched all-version,accuracy,0.85324232,85.324232,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_pc_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_pc_arc_challenge.csv
arc_easy,ARC-Easy,all_allversions,"All interventions, all-version IT checkpoint",All interventions,all-version,accuracy,0.93686869,93.686869,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_all_allversions_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_all_allversions_arc_easy.csv
arc_easy,ARC-Easy,all_opinion,"All interventions, opinion IT checkpoint",All interventions,opinion,accuracy,0.92845118,92.845118,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_all_opinion_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_all_opinion_arc_easy.csv
arc_easy,ARC-Easy,all_action,"All interventions, action IT checkpoint",All interventions,action,accuracy,0.94654882,94.654882,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_all_action_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_all_action_arc_easy.csv
arc_easy,ARC-Easy,all_event,"All interventions, event IT checkpoint",All interventions,event,accuracy,0.9246633,92.46633,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_all_event_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_all_event_arc_easy.csv
arc_easy,ARC-Easy,sr,"Stereotype replacement, matched IT checkpoint",Stereotype replacement,matched all-version,accuracy,0.93518519,93.518519,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_sr_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_sr_arc_easy.csv
arc_easy,ARC-Easy,ind,"Individuation, matched IT checkpoint",Individuation,matched all-version,accuracy,0.94234007,94.234007,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_ind_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_ind_arc_easy.csv
arc_easy,ARC-Easy,pt,"Perspective-taking, matched IT checkpoint",Perspective-taking,matched all-version,accuracy,0.93602694,93.602694,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_pt_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_pt_arc_easy.csv
arc_easy,ARC-Easy,ci,"Counter-stereotypic imaging, matched IT checkpoint",Counter-stereotypic imaging,matched all-version,accuracy,0.93897306,93.897306,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_ci_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_ci_arc_easy.csv
arc_easy,ARC-Easy,pc,"Positive contact, matched IT checkpoint",Positive contact,matched all-version,accuracy,0.9297138,92.97138,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_pc_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_pc_arc_easy.csv
balanced_copa,Balanced COPA,all_allversions,"All interventions, all-version IT checkpoint",All interventions,all-version,accuracy,0.9,90,results/new_results/m3_finetune_llama70b_ms500/reasoning/balanced_copa/m3_llama70b_ms500_all_allversions_balanced_copa/balanced_copa_metrics_overall_m3_llama70b_ms500_all_allversions_balanced_copa.csv
