dataset_key,benchmark_label,method_key,method_label,metric,accuracy,accuracy_percent_plotted,source_file
arc_challenge,ARC-Challenge,base,Base Model Inference,accuracy,0.87116041,87.116041,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_challenge/llama70b_firstpass_all_action_arc_challenge/arc_challenge_metrics_overall_llama70b_firstpass_all_action_arc_challenge.csv
arc_challenge,ARC-Challenge,icl,ICL,accuracy,0.86177474,86.177474,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama70b/reasoning/arc_challenge/m4_baseicl_zero_llama70b_allstrat_arc_challenge/arc_challenge_metrics_overall_m4_baseicl_zero_llama70b_allstrat_arc_challenge.csv
arc_challenge,ARC-Challenge,diy_it,DIY IT,accuracy,0.86262799,86.262799,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_all_allversions_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_all_allversions_arc_challenge.csv
arc_challenge,ARC-Challenge,diy_twopass_no_it,DIY Two Pass (No IT),accuracy,0.90187713,90.187713,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,diy_twopass_it,DIY Two Pass (IT),accuracy,0.90443686,90.443686,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_easy,ARC-Easy,base,Base Model Inference,accuracy,0.94654882,94.654882,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_easy/llama70b_firstpass_all_action_arc_easy/arc_easy_metrics_overall_llama70b_firstpass_all_action_arc_easy.csv
arc_easy,ARC-Easy,icl,ICL,accuracy,0.93434343,93.434343,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama70b/reasoning/arc_easy/m4_baseicl_zero_llama70b_allstrat_arc_easy/arc_easy_metrics_overall_m4_baseicl_zero_llama70b_allstrat_arc_easy.csv
arc_easy,ARC-Easy,diy_it,DIY IT,accuracy,0.93686869,93.686869,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_all_allversions_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_all_allversions_arc_easy.csv
arc_easy,ARC-Easy,diy_twopass_no_it,DIY Two Pass (No IT),accuracy,0.95833333,95.833333,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,diy_twopass_it,DIY Two Pass (IT),accuracy,0.96422559,96.422559,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies/arc_easy/arc_easy_metrics_overall.csv
balanced_copa,Balanced COPA,base,Base Model Inference,accuracy,0.904,90.4,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/balanced_copa/llama70b_firstpass_base_llama70b_balanced_copa/balanced_copa_metrics_overall_llama70b_firstpass_base_llama70b_balanced_copa.csv
balanced_copa,Balanced COPA,icl,ICL,accuracy,0.884,88.4,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama70b/reasoning/balanced_copa/m4_baseicl_zero_llama70b_allstrat_balanced_copa/balanced_copa_metrics_overall_m4_baseicl_zero_llama70b_allstrat_balanced_copa.csv
balanced_copa,Balanced COPA,diy_it,DIY IT,accuracy,0.9,90,results/new_results/m3_finetune_llama70b_ms500/reasoning/balanced_copa/m3_llama70b_ms500_all_allversions_balanced_copa/balanced_copa_metrics_overall_m3_llama70b_ms500_all_allversions_balanced_copa.csv
balanced_copa,Balanced COPA,diy_twopass_no_it,DIY Two Pass (No IT),accuracy,0.835,83.5,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
balanced_copa,Balanced COPA,diy_twopass_it,DIY Two Pass (IT),accuracy,0.866,86.6,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies/balanced_copa/balanced_copa_metrics_overall.csv
