model_key,model,figure,dataset_key,method_key,method_label,metric,point,ci_low,ci_high,n_units,n_bootstrap,metric_source_file,row_files,status,reason,accuracy,accuracy_percent_plotted,benchmark_label,point_recomputed,source_file
llama70b,Llama 70B,reasoning_performance,arc_challenge,base,Base Model Inference,accuracy,87.116041,85.06825938566553,89.17022184300342,1172,200,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_challenge/llama70b_firstpass_all_action_arc_challenge/arc_challenge_metrics_overall_llama70b_firstpass_all_action_arc_challenge.csv,outputs/new_outputs/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_challenge/llama70b_firstpass_all_action_arc_challenge/arc_challenge_predictions_llama70b_firstpass_all_action_arc_challenge.csv,ok,,0.87116041,87.116041,ARC-Challenge,87.1160409556314,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_challenge/llama70b_firstpass_all_action_arc_challenge/arc_challenge_metrics_overall_llama70b_firstpass_all_action_arc_challenge.csv
llama70b,Llama 70B,reasoning_performance,arc_challenge,icl,ICL,accuracy,86.177474,84.21501706484642,87.88822525597269,1172,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama70b/reasoning/arc_challenge/m4_baseicl_zero_llama70b_allstrat_arc_challenge/arc_challenge_metrics_overall_m4_baseicl_zero_llama70b_allstrat_arc_challenge.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama70b/reasoning/arc_challenge/m4_baseicl_zero_llama70b_allstrat_arc_challenge/arc_challenge_predictions_m4_baseicl_zero_llama70b_allstrat_arc_challenge.csv,ok,,0.86177474,86.177474,ARC-Challenge,86.17747440273038,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama70b/reasoning/arc_challenge/m4_baseicl_zero_llama70b_allstrat_arc_challenge/arc_challenge_metrics_overall_m4_baseicl_zero_llama70b_allstrat_arc_challenge.csv
llama70b,Llama 70B,reasoning_performance,arc_challenge,diy_it,DIY IT,accuracy,86.262799,84.55418088737201,88.39803754266212,1172,200,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_all_allversions_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_all_allversions_arc_challenge.csv,outputs/new_outputs/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_all_allversions_arc_challenge/arc_challenge_predictions_m3_llama70b_ms500_all_allversions_arc_challenge.csv,ok,,0.86262799,86.262799,ARC-Challenge,86.26279863481228,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_challenge/m3_llama70b_ms500_all_allversions_arc_challenge/arc_challenge_metrics_overall_m3_llama70b_ms500_all_allversions_arc_challenge.csv
llama70b,Llama 70B,reasoning_performance,arc_challenge,diy_twopass_no_it,DIY Two Pass (No IT),accuracy,90.187713,84.29820819112628,88.22525597269625,1172,200,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv,outputs/new_outputs/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_preds_m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies_arc_challenge_predictions_llama70b_firstpass_base_llama70b_arc_challenge.csv,ok,,0.90187713,90.187713,ARC-Challenge,86.26279863481228,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
llama70b,Llama 70B,reasoning_performance,arc_challenge,diy_twopass_it,DIY Two Pass (IT),accuracy,90.443686,84.54991467576791,88.22738907849829,1172,200,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv,outputs/new_outputs/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies/arc_challenge/arc_challenge_preds_m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies_arc_challenge_predictions_llama70b_firstpass_all_allversions_arc_challenge.csv,ok,,0.90443686,90.443686,ARC-Challenge,86.26279863481228,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
llama70b,Llama 70B,reasoning_performance,arc_easy,base,Base Model Inference,accuracy,94.654882,93.72895622895624,95.41245791245791,2376,200,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_easy/llama70b_firstpass_all_action_arc_easy/arc_easy_metrics_overall_llama70b_firstpass_all_action_arc_easy.csv,outputs/new_outputs/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_easy/llama70b_firstpass_all_action_arc_easy/arc_easy_predictions_llama70b_firstpass_all_action_arc_easy.csv,ok,,0.94654882,94.654882,ARC-Easy,94.65488215488216,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_easy/llama70b_firstpass_all_action_arc_easy/arc_easy_metrics_overall_llama70b_firstpass_all_action_arc_easy.csv
llama70b,Llama 70B,reasoning_performance,arc_easy,icl,ICL,accuracy,93.434343,92.46422558922559,94.44654882154882,2376,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama70b/reasoning/arc_easy/m4_baseicl_zero_llama70b_allstrat_arc_easy/arc_easy_metrics_overall_m4_baseicl_zero_llama70b_allstrat_arc_easy.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama70b/reasoning/arc_easy/m4_baseicl_zero_llama70b_allstrat_arc_easy/arc_easy_predictions_m4_baseicl_zero_llama70b_allstrat_arc_easy.csv,ok,,0.93434343,93.434343,ARC-Easy,93.43434343434343,results/new_results/m4_base_icl_zero/m4_base_icl_zero_reasoning_allmodels_20260514_011540/llama70b/reasoning/arc_easy/m4_baseicl_zero_llama70b_allstrat_arc_easy/arc_easy_metrics_overall_m4_baseicl_zero_llama70b_allstrat_arc_easy.csv
llama70b,Llama 70B,reasoning_performance,arc_easy,diy_it,DIY IT,accuracy,93.686869,92.75989057239057,94.61384680134681,2376,200,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_all_allversions_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_all_allversions_arc_easy.csv,outputs/new_outputs/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_all_allversions_arc_easy/arc_easy_predictions_m3_llama70b_ms500_all_allversions_arc_easy.csv,ok,,0.93686869,93.686869,ARC-Easy,93.68686868686868,results/new_results/m3_finetune_llama70b_ms500/reasoning/arc_easy/m3_llama70b_ms500_all_allversions_arc_easy/arc_easy_metrics_overall_m3_llama70b_ms500_all_allversions_arc_easy.csv
llama70b,Llama 70B,reasoning_performance,arc_easy,diy_twopass_no_it,DIY Two Pass (No IT),accuracy,95.833333,91.91708754208754,93.85521885521885,2376,200,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv,outputs/new_outputs/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_preds_m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies_self_debias_two_pass_all_strategies_arc_easy_predictions_llama70b_firstpass_base_llama70b_arc_easy.csv,ok,,0.95833333,95.833333,ARC-Easy,92.97138047138047,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv
llama70b,Llama 70B,reasoning_performance,arc_easy,diy_twopass_it,DIY Two Pass (IT),accuracy,96.422559,92.71359427609428,94.57070707070707,2376,200,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies/arc_easy/arc_easy_metrics_overall.csv,outputs/new_outputs/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies/arc_easy/arc_easy_preds_m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies_self_debias_two_pass_all_strategies_arc_easy_predictions_llama70b_firstpass_all_allversions_arc_easy.csv,ok,,0.96422559,96.422559,ARC-Easy,93.68686868686868,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__all_allversions__all_strategies/arc_easy/arc_easy_metrics_overall.csv
