dataset_key,benchmark_label,method_key,method_label,strategy_key,metric,accuracy,accuracy_percent_plotted,source_file
arc_challenge,ARC-Challenge,base,Base Model,base,accuracy,0.87116041,87.116041,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_challenge/llama70b_firstpass_all_action_arc_challenge/arc_challenge_metrics_overall_llama70b_firstpass_all_action_arc_challenge.csv
arc_challenge,ARC-Challenge,all_strategies,All interventions,all_strategies,accuracy,0.90187713,90.187713,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,sr,Stereotype replacement,stereotype_replacement,accuracy,0.89590444,89.590444,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_stereotype_replacement__stereotype_replacement/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,ind,Individuation,individuating,accuracy,0.90443686,90.443686,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_individuating__individuating/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,pt,Perspective-taking,perspective_taking,accuracy,0.90358362,90.358362,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_perspective_taking__perspective_taking/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,ci,Counter-stereotypic imaging,counter_imaging,accuracy,0.89163823,89.163823,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_counter_imaging__counter_imaging/arc_challenge/arc_challenge_metrics_overall.csv
arc_challenge,ARC-Challenge,pc,Positive contact,positive_contact,accuracy,0.89931741,89.931741,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_positive_contact__positive_contact/arc_challenge/arc_challenge_metrics_overall.csv
arc_easy,ARC-Easy,base,Base Model,base,accuracy,0.94654882,94.654882,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/reasoning_first_pass/arc_easy/llama70b_firstpass_all_action_arc_easy/arc_easy_metrics_overall_llama70b_firstpass_all_action_arc_easy.csv
arc_easy,ARC-Easy,all_strategies,All interventions,all_strategies,accuracy,0.95833333,95.833333,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_all_strategies__all_strategies/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,sr,Stereotype replacement,stereotype_replacement,accuracy,0.94570707,94.570707,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_stereotype_replacement__stereotype_replacement/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,ind,Individuation,individuating,accuracy,0.95707071,95.707071,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_individuating__individuating/arc_easy/arc_easy_metrics_overall.csv
arc_easy,ARC-Easy,pt,Perspective-taking,perspective_taking,accuracy,0.9537037,95.37037,results/new_results/m6_llama70b_reasoning/m6_llama70b_reasoning_20260506/m6/eval/m6_l70b_reasoning_two_pass_zero__base_perspective_taking__perspective_taking/arc_easy/arc_easy_metrics_overall.csv
