model_key,model,figure,dataset_key,panel_label,method_key,method,method_label,intervention_key,intervention_label,metric,point,ci_low,ci_high,n_units,n_bootstrap,metric_source_file,row_files,status,reason,ci_note,ideal_value,metric_label,native_value,normalized_bias_error_plotted,point_recomputed,reference_metric_source_file,reference_row_files
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,base,Base Model,Base Model,__base__,Base Model,stereotype_preference_pct,0.0,0.0,0.0,,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,,base,,,50,Stereotype preference %,66.11,16.11,,,
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,icl_stereotype_replacement,ICL,ICL,stereotype_replacement,Stereotype replacement,stereotype_preference_pct,nan,-15.743084777306816,-6.785125752238184,1310,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama70b_sr_crowspairs.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_scored_m4_baseicl_zero_llama70b_sr_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,67.64,17.64,-1.5300000000000011,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,diy_it_stereotype_replacement,DIY IT,DIY IT,stereotype_replacement,Stereotype replacement,stereotype_preference_pct,nan,-4.1612243251830705,5.058935489146732,1493,200,results/new_results/m3_finetune_llama70b_ms500/evalshared/crows_pairs_metrics_overall_m3_llama70b_ms500_sr_crowspairs.csv,outputs/new_outputs/m3_finetune_llama70b_ms500/evalshared/crows_pairs_scored_m3_llama70b_ms500_sr_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,66.11,16.11,0.0,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,diy_twopass_no_it_stereotype_replacement,DIY Two Pass (No IT),DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement,stereotype_preference_pct,nan,9.305001235236249,18.265460743121686,1493,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_stereotype_replacement__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__base_stereotype_replacement__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_stereotype_replacement__stereotype_replacement/crowspairs/crows_pairs_scored_m6_l70b_two_pass_zero__base_stereotype_replacement__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,46.95,3.05,13.059999999999999,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,diy_twopass_it_stereotype_replacement,DIY Two Pass (IT),DIY Two Pass (IT),stereotype_replacement,Stereotype replacement,stereotype_preference_pct,nan,6.886897405868563,16.478728364830634,1491,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__sr__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__sr__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__sr__stereotype_replacement/crowspairs/crows_pairs_scored_m6_l70b_two_pass_zero__sr__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,44.5,5.5,10.61,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,icl_individuating,ICL,ICL,individuating,Individuation,stereotype_preference_pct,nan,-16.22358782900308,-7.599854751177485,1317,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama70b_ind_crowspairs.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_scored_m4_baseicl_zero_llama70b_ind_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,68.57,18.57,-2.460000000000001,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,diy_it_individuating,DIY IT,DIY IT,individuating,Individuation,stereotype_preference_pct,nan,-3.9406712015147605,4.545420796384006,1493,200,results/new_results/m3_finetune_llama70b_ms500/evalshared/crows_pairs_metrics_overall_m3_llama70b_ms500_ind_crowspairs.csv,outputs/new_outputs/m3_finetune_llama70b_ms500/evalshared/crows_pairs_scored_m3_llama70b_ms500_ind_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,66.18,16.18,-0.07000000000000028,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,diy_twopass_no_it_individuating,DIY Two Pass (No IT),DIY Two Pass (No IT),individuating,Individuation,stereotype_preference_pct,nan,10.703137054144365,18.72484822647722,1493,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_individuating__individuating/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__base_individuating__individuating_self_debias_two_pass_individuating.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_individuating__individuating/crowspairs/crows_pairs_scored_m6_l70b_two_pass_zero__base_individuating__individuating_self_debias_two_pass_individuating.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,48.34,1.66,14.45,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,diy_twopass_it_individuating,DIY Two Pass (IT),DIY Two Pass (IT),individuating,Individuation,stereotype_preference_pct,nan,8.22619487291383,17.260874512746163,1493,200,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__ind__individuating/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__ind__individuating_self_debias_two_pass_individuating.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__ind__individuating/crowspairs/crows_pairs_scored_m6_l70b_two_pass_zero__ind__individuating_self_debias_two_pass_individuating.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,45.89,4.11,12.0,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv
llama70b,Llama 70B,intervention_ablation,crowspairs,CrowS-Pairs,icl_perspective_taking,ICL,ICL,perspective_taking,Perspective-taking,stereotype_preference_pct,nan,-16.650647253723974,-8.174315372880791,1315,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama70b_pt_crowspairs.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_scored_m4_baseicl_zero_llama70b_pt_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,68.97,18.97,-2.8599999999999994,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,outputs/new_outputs/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_scored_llama70b_plain_base_crowspairs.csv
