dataset_key,panel_label,method_key,method_label,metric,metric_label,ideal_value,native_value,normalized_bias_error_plotted,metric_source_file,method,intervention_key,intervention_label
crowspairs,CrowS-Pairs,base,Base Model,stereotype_preference_pct,Stereotype preference %,50,66.11,16.11,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/plain_direct/evalshared/crows_pairs_metrics_overall_llama70b_plain_base_crowspairs.csv,Base Model,__base__,Base Model
crowspairs,CrowS-Pairs,icl_stereotype_replacement,ICL,stereotype_preference_pct,Stereotype preference %,50,67.64,17.64,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama70b_sr_crowspairs.csv,ICL,stereotype_replacement,Stereotype replacement
crowspairs,CrowS-Pairs,diy_it_stereotype_replacement,DIY IT,stereotype_preference_pct,Stereotype preference %,50,66.11,16.11,results/new_results/m3_finetune_llama70b_ms500/evalshared/crows_pairs_metrics_overall_m3_llama70b_ms500_sr_crowspairs.csv,DIY IT,stereotype_replacement,Stereotype replacement
crowspairs,CrowS-Pairs,diy_twopass_no_it_stereotype_replacement,DIY Two Pass (No IT),stereotype_preference_pct,Stereotype preference %,50,46.95,3.05,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_stereotype_replacement__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__base_stereotype_replacement__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement
crowspairs,CrowS-Pairs,diy_twopass_it_stereotype_replacement,DIY Two Pass (IT),stereotype_preference_pct,Stereotype preference %,50,44.5,5.5,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__sr__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__sr__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,DIY Two Pass (IT),stereotype_replacement,Stereotype replacement
crowspairs,CrowS-Pairs,icl_individuating,ICL,stereotype_preference_pct,Stereotype preference %,50,68.57,18.57,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama70b_ind_crowspairs.csv,ICL,individuating,Individuation
crowspairs,CrowS-Pairs,diy_it_individuating,DIY IT,stereotype_preference_pct,Stereotype preference %,50,66.18,16.18,results/new_results/m3_finetune_llama70b_ms500/evalshared/crows_pairs_metrics_overall_m3_llama70b_ms500_ind_crowspairs.csv,DIY IT,individuating,Individuation
crowspairs,CrowS-Pairs,diy_twopass_no_it_individuating,DIY Two Pass (No IT),stereotype_preference_pct,Stereotype preference %,50,48.34,1.66,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__base_individuating__individuating/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__base_individuating__individuating_self_debias_two_pass_individuating.csv,DIY Two Pass (No IT),individuating,Individuation
crowspairs,CrowS-Pairs,diy_twopass_it_individuating,DIY Two Pass (IT),stereotype_preference_pct,Stereotype preference %,50,45.89,4.11,results/new_results/m6_llama70b_original5/m6_llama70b_original5_20260415_195536/m6/eval/m6_l70b_two_pass_zero__ind__individuating/crowspairs/crows_pairs_metrics_overall_m6_l70b_two_pass_zero__ind__individuating_self_debias_two_pass_individuating.csv,DIY Two Pass (IT),individuating,Individuation
crowspairs,CrowS-Pairs,icl_perspective_taking,ICL,stereotype_preference_pct,Stereotype preference %,50,68.97,18.97,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/llama70b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_llama70b_pt_crowspairs.csv,ICL,perspective_taking,Perspective-taking
