model_key,model,figure,dataset_key,panel_label,method_key,method,method_label,intervention_key,intervention_label,metric,point,ci_low,ci_high,n_units,n_bootstrap,metric_source_file,row_files,status,reason,ci_note,ideal_value,metric_label,native_value,normalized_bias_error_plotted,point_recomputed,reference_metric_source_file,reference_row_files
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,base,Base Model,Base Model,__base__,Base Model,stereotype_preference_pct,0.0,0.0,0.0,,200,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,,base,,,50,Stereotype preference %,63.53,13.53,,,
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,icl_stereotype_replacement,ICL,ICL,stereotype_replacement,Stereotype replacement,stereotype_preference_pct,nan,-11.561868267809183,-1.647137296822006,1288,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_qwen35_27b_sr_crowspairs.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_scored_m4_baseicl_zero_qwen35_27b_sr_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,62.53,12.53,1.0,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,diy_it_stereotype_replacement,DIY IT,DIY IT,stereotype_replacement,Stereotype replacement,stereotype_preference_pct,nan,-4.901257139806754,5.077029840388619,1430,200,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_ms500_sr_crowspairs.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_scored_m3_qwen35_27b_ms500_sr_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,63.13,13.13,0.3999999999999986,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,diy_twopass_no_it_stereotype_replacement,DIY Two Pass (No IT),DIY Two Pass (No IT),stereotype_replacement,Stereotype replacement,stereotype_preference_pct,nan,10.1423838422932,18.81640154273563,1441,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_stereotype_replacement__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__base_stereotype_replacement__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_stereotype_replacement__stereotype_replacement/crowspairs/crows_pairs_scored_m6_qwen35_27b_two_pass_zero__base_stereotype_replacement__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,48.54,1.46,12.07,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,diy_twopass_it_stereotype_replacement,DIY Two Pass (IT),DIY Two Pass (IT),stereotype_replacement,Stereotype replacement,stereotype_preference_pct,nan,10.20238487615991,18.684426451793243,1441,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__sr__stereotype_replacement/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__sr__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__sr__stereotype_replacement/crowspairs/crows_pairs_scored_m6_qwen35_27b_two_pass_zero__sr__stereotype_replacement_self_debias_two_pass_stereotype_replacement.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,47.81,2.19,11.34,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,icl_individuating,ICL,ICL,individuating,Individuation,stereotype_preference_pct,nan,-11.29530108338268,-1.743066599832627,1282,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_qwen35_27b_ind_crowspairs.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_scored_m4_baseicl_zero_qwen35_27b_ind_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,62.4,12.4,1.129999999999999,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,diy_it_individuating,DIY IT,DIY IT,individuating,Individuation,stereotype_preference_pct,nan,-5.318808708963347,4.439429129863971,1433,200,results/new_results/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_ms500_ind_crowspairs.csv,outputs/new_outputs/m3_finetune_qwen35_27b_ms500/evalshared/crows_pairs_scored_m3_qwen35_27b_ms500_ind_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,63.4,13.4,0.129999999999999,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,diy_twopass_no_it_individuating,DIY Two Pass (No IT),DIY Two Pass (No IT),individuating,Individuation,stereotype_preference_pct,nan,8.467001759328639,18.517751801030894,1441,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_individuating__individuating/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__base_individuating__individuating_self_debias_two_pass_individuating.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__base_individuating__individuating/crowspairs/crows_pairs_scored_m6_qwen35_27b_two_pass_zero__base_individuating__individuating_self_debias_two_pass_individuating.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,47.02,2.98,10.549999999999999,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,diy_twopass_it_individuating,DIY Two Pass (IT),DIY Two Pass (IT),individuating,Individuation,stereotype_preference_pct,nan,4.565722142593085,14.582400637815486,1441,200,results/new_results/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__ind__individuating/crowspairs/crows_pairs_metrics_overall_m6_qwen35_27b_two_pass_zero__ind__individuating_self_debias_two_pass_individuating.csv,outputs/new_outputs/m6_qwen35_27b_reasoning_plus_original5/m6_qwen35_27b_reasoning_plus_original5_ordered_20260504_220932/m6/eval/m6_qwen35_27b_two_pass_zero__ind__individuating/crowspairs/crows_pairs_scored_m6_qwen35_27b_two_pass_zero__ind__individuating_self_debias_two_pass_individuating.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,42.77,7.23,6.299999999999999,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
qwen,Qwen 27B,intervention_ablation,crowspairs,CrowS-Pairs,icl_perspective_taking,ICL,ICL,perspective_taking,Perspective-taking,stereotype_preference_pct,nan,-10.496348243598556,-1.1405754468222469,1293,200,results/new_results/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_metrics_overall_m4_baseicl_zero_qwen35_27b_pt_crowspairs.csv,outputs/new_outputs/m4_base_icl_zero/m4_base_icl_zero_allmodels_20260514_005736/qwen35_27b/evalshared/crows_pairs_scored_m4_baseicl_zero_qwen35_27b_pt_crowspairs.csv,ok,,bootstrap row CIs propagated as base_low-method_high/base_high-method_low,50,Stereotype preference %,62.14,12.14,1.3899999999999988,results/new_results/m3_qwen35_27b_base_all5/evalshared/crows_pairs_metrics_overall_m3_qwen35_27b_base_crowspairs.csv,outputs/new_outputs/m3_qwen35_27b_base_all5/evalshared/crows_pairs_scored_m3_qwen35_27b_base_crowspairs.csv
